ITEM,BID,OLDCN,NEWCN,TITLE,AUTHOR,BRANCHCODE,LOCCODE
21982022543577,34088,E ADLE - BEGINNING TO READ,ER ADLE,Young Cam Jansen and the Molly shoe mystery /,"Adler, David A.",BKE,EPRDR
21982022543585,34088,E ADLE - BEGINNING TO READ,ER ADLE,Young Cam Jansen and the Molly shoe mystery /,"Adler, David A.",CBA,EPRDR
21982028818668,95927,E ADLER - BEGINNING TO READ,ER ADLER,"Get a hit, Mo! /","Adler, David A.",URL,EPRDR
21982028476871,86741,E ADLER - BEGINNING TO READ,ER ADLER,Don't throw it to Mo! /,"Adler, David A.",URL,EPRDR
21982031653482,86741,E ADLER - BEGINNING TO READ,ER ADLER,Don't throw it to Mo! /,"Adler, David A.",URL,EPRDR
21982028476855,86741,E ADLER - BEGINNING TO READ,ER ADLER,Don't throw it to Mo! /,"Adler, David A.",BRU,EPRDR
21982021416676,73675,E ADLER - BEGINNING TO READ,ER ADLER,Bones and the apple pie mystery /,"Adler, David A.",WAL,EPRDR
21982028818650,95927,E ADLER - BEGINNING TO READ,ER ADLER,"Get a hit, Mo! /","Adler, David A.",BRU,EPRDR
21982028818684,95927,E ADLER - BEGINNING TO READ,ER ADLER,"Get a hit, Mo! /","Adler, David A.",CBA,EPRDR
21982021416601,73675,E ADLER - BEGINNING TO READ,ER ADLER,Bones and the apple pie mystery /,"Adler, David A.",URL,EPRDR
21982021416593,73675,E ADLER - BEGINNING TO READ,ER ADLER,Bones and the apple pie mystery /,"Adler, David A.",URL,EPRDR
21982021416650,73675,E ADLER - BEGINNING TO READ,ER ADLER,Bones and the apple pie mystery /,"Adler, David A.",MYE,EPRDR
21982021416619,73675,E ADLER - BEGINNING TO READ,ER ADLER,Bones and the apple pie mystery /,"Adler, David A.",EMM,EPRDR
21982020021972,72436,E ADLER - BEGINNING TO READ,ER ADLER,Young Cam Jansen and the goldfish mystery /,"Adler, David A.",CBA,EPRDR
21982020021980,72436,E ADLER - BEGINNING TO READ,ER ADLER,Young Cam Jansen and the goldfish mystery /,"Adler, David A.",MID,EPRDR
21982020021949,72436,E ADLER - BEGINNING TO READ,ER ADLER,Young Cam Jansen and the goldfish mystery /,"Adler, David A.",TRL,EPRDR
